CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Lucro_Liquido_Ajustado;Taxa_Retorno_Patrimonio_Liquido_Emissor;Lucro_Liquido_Retido;Dividendo_Distribuido_Lucro_Liquido_Ajustado;Dividendo_Distribuido_Total;Data_Aprovacao_Retencao
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;2019-04-01;2020-03-31;77866832.25;12.95272000;77866832.25;0.00000000;0.00;2020-06-25
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;2020-04-01;2021-03-31;172096453.35;15.14957986;101149991.43;41.22482511;70946460.92;2021-07-27
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;2021-04-01;2022-03-31;389093491.43;28.01792100;290953802.18;25.22265000;98139689.25;2022-07-26
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2019-04-01;2020-03-31;19390099.71;3.30000000;969504.99;25.00000000;4605148.68;2020-06-18
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2020-04-01;2021-03-31;108397599.00;15.75732500;5419880.01;25.00000000;25744430.00;2021-07-21
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2021-04-01;2022-03-31;134003301.03;16.93833300;6700145.44;25.00000000;31825712.50;2022-06-21
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2019-07-01;2020-06-30;113576000.00;10.65953142;77554000.00;36.97964359;42000000.00;2020-10-16
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2020-07-01;2021-06-30;301764000.00;14.55355331;57646000.00;86.16004560;260000000.00;
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2021-07-01;2022-06-30;494095367.92;23.46972571;200100387.28;64.76482492;320000000.00;2022-10-27
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;2019-04-01;2020-03-31;44239981.13;15.34000000;96497929.46;26.82000000;11866190.02;2020-10-05
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;2020-04-01;2021-03-31;189452599.22;29.26000000;168142805.37;25.00000000;96820750.36;2021-07-28
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;2021-04-01;2022-03-31;385320650.30;45.53000000;376031406.55;35.71000000;137583838.41;2022-07-11
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;2019-04-01;2020-03-31;2048916535.02;0.39827700;550113229.04;73.15101813;1498803305.99;2020-10-30
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;2020-04-01;2021-03-31;992031000.00;0.18708700;844811000.00;14.84020000;147219000.00;2021-06-01
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;2021-04-01;2022-03-31;2773214907.68;0.18708700;2031533081.43;26.74447700;741681826.25;2022-07-22
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;2019-04-01;2020-03-31;607059275.23;19.09386539;474309050.57;27.13091119;164700712.85;2020-07-31
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;2020-04-01;2021-03-31;798835567.54;23.25610393;529956526.21;49.71833689;397167758.70;2021-07-30
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;2021-04-01;2022-03-31;1258871253.70;27.84411470;860692539.75;49.26443555;620175817.41;2022-07-29
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;2019-03-01;2020-02-29;106234450.00;10.65000000;41148644.09;42.36000000;86000000.00;2020-06-30
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;2020-03-01;2021-02-28;255925000.00;17.08000000;77884466.83;69.57000000;220000000.00;2021-06-30
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;2021-03-01;2022-02-28;336814650.00;13.56000000;127577098.73;28.21000000;95000000.00;2022-06-30
68.400.225/0001-79;2023-06-30;4;130053;CLARANET TECHNOLOGY S.A.;2020-01-01;2020-12-31;5166000.00;0.15994100;4062000.00;21.37049900;1104000.00;2021-04-16
68.400.225/0001-79;2023-06-30;4;130053;CLARANET TECHNOLOGY S.A.;2021-01-01;2021-06-30;0.00;0.00000000;0.00;0.00000000;0.00;
68.400.225/0001-79;2023-06-30;4;130053;CLARANET TECHNOLOGY S.A.;2021-07-01;2022-06-30;0.00;0.00000000;0.00;0.00000000;0.00;
88.613.658/0001-10;2023-06-30;13;132743;PETTENATI S.A. INDUSTRIA TEXTIL;2019-07-01;2020-06-30;25445896.19;9.88923300;16955673.67;0.03365783;8490222.52;2019-10-30
88.613.658/0001-10;2023-06-30;13;132743;PETTENATI S.A. INDUSTRIA TEXTIL;2020-07-01;2021-06-30;53721924.85;15.50578699;30710593.09;18.12415704;9736646.02;2021-10-26
88.613.658/0001-10;2023-06-30;13;132743;PETTENATI S.A. INDUSTRIA TEXTIL;2021-07-01;2022-06-30;67888813.20;20.20020181;45944249.64;22.55857653;15314749.88;2022-10-28
